City,Title,Artist,Tempo in BPM,Syllables per line,Syllables per word,Syllable Variation,Novel Word Proportion,Rhymes per line,Rhymes per syllable,Rhyme Density,End Pairs Per Line,End Pairs Grown,End Pairs Shrunk,End Pairs Even,Average End Score,Average End Syllable Score,Singles per Rhyme,Doubles per Rhyme,Triples per Rhyme,Quads per Rhyme,Longs per Rhyme,Perfect Rhymes,Line Internals per Line,Links per line,bridges per line,Compounds per line,Chaining per line,Triplet Percentage,Avg Speed per Syllable
Atlanta,Jefe,"T.I., Meek Mill",128,13.68,1.2906,4.4427,0.9212,3,0.2193,0.3363,0.6,0.3333,0.3333,0.3333,5.9456,3.4301,0.6133,0.2533,0.12,0.0133,0,0.0667,1.08,0.36,0.96,0.28,0,0.9257,0.1727
Atlanta,Drip Too Hard,"Lil Baby, Gunna",113,12.4167,1.2016,2.2898,0.8658,1.5833,0.1275,0.2081,0.5,0.1667,0.3333,0.5,3.8591,2.5727,0.5789,0.3158,0,0.1053,0,0.0526,0.5,0.1667,0.4167,0.1667,0,0,0.1586
Atlanta,1stDayOutThaFeds,Gucci Mane,138,12.9167,1.1524,1.4118,0.8786,1.7917,0.1387,0.1968,0.375,0,0,1,6.0796,4.2089,0.6744,0.2326,0.093,0,0,0.2326,0.5833,0.25,0.5833,0.125,0.0417,0,0.2596
Atlanta,BadandBougee,"Migos, Lil Uzi Vert",127,7.8333,1.224,1.6948,0.9124,1.1,0.1404,0.2255,0.5,0.1333,0.0667,0.8,6.834,3.5348,0.4848,0.4242,0.0909,0,0,0.0606,0.2333,0.1,0.2667,0.0667,0.0667,0.7719,0.2156
Atlanta,UpTheSmoke,"Stunna 4 Vegas, Offset",143,8.4583,1.2156,2.1209,0.9366,1.4167,0.1675,0.2709,0.5417,0.3846,0.2308,0.3846,3.9034,3.9034,0.7647,0.0882,0,0.1176,0.0294,0.0882,0.375,0.0833,0.4167,0.0417,0.3333,0.6967,0.1651
Atlanta,Hot(Remix),"Young Thug, Travis Scott, Gunna",112,10.1875,1.304,1.6665,0.9464,1.5625,0.1534,0.1963,0.5625,0.1111,0,0.8889,4.4375,4.4375,0.84,0.08,0.04,0.04,0,0.2,0.4375,0.3125,0.25,0,0,0.9331,0.1912
Atlanta,RiverdaleRd.,2 Chainz,125,11,1.2816,2.0412,0.8039,1.8333,0.1667,0.3409,0.75,0,0.1111,0.8889,3.1978,2.6164,0.5455,0.1364,0.2727,0,0.0455,0.0909,0.4167,0.25,0.4167,0,0,0.7698,0.221
Atlanta,Undefeated,"Future, Lil Keed",157,10.375,1.1942,0.857,0.7238,1.6875,0.1627,0.2711,0.375,0.1667,0,0.8333,3.8033,3.26,0.7037,0.1481,0.0741,0.037,0.037,0.0741,0.25,0.25,0.8125,0,0,0.8976,0.1474
Atlanta,LightItUp,Young Thug,138,8.375,1.1964,0.9922,0.8956,0.75,0.0896,0.1119,0.3125,0.2,0,0.8,7.1438,4.4649,0.8333,0.0833,0.0833,0,0,0.1667,0.125,0.125,0.1875,0,0,0.7881,0.1843
Atlanta,BankAccount,21 Savage,150,9.4375,1.2177,2.2352,0.8737,1.1875,0.1258,0.2119,0.6875,0,0.0909,0.9091,6.9562,4.0273,0.5789,0.2105,0.1579,0.0526,0,0.3684,0.125,0.0625,0.3125,0,0,0.2798,0.2381
