"","NoteValue","Stress","Rest","Lyrics","Break","Rhythm","OTL","COM","ARE","Bar","Position"
"1.6","2",".","R",".",".",0.5,"BodakYellow","CardiB","New York","1",0.5
"1.7","8",".","R",".",".",0.125,"BodakYellow","CardiB","New York","1",0.625
"1.8","8","0",".","Now","3",0.125,"BodakYellow","CardiB","New York","1",0.75
"1.9","8","1",".","she",".",0.125,"BodakYellow","CardiB","New York","1",0.875
"1.10","8","0",".","say",".",0.125,"BodakYellow","CardiB","New York","1",0
"1.12","4","1",".","she",".",0.25,"BodakYellow","CardiB","New York","2",0.25
"1.13","8","1",".","gon'",".",0.125,"BodakYellow","CardiB","New York","2",0.375
"1.14","8","0",".","do",".",0.125,"BodakYellow","CardiB","New York","2",0.5
"1.15","8","1",".","what",".",0.125,"BodakYellow","CardiB","New York","2",0.625
"1.16","8","0",".","to",".",0.125,"BodakYellow","CardiB","New York","2",0.75
"1.17","4","1",".","who",".",0.25,"BodakYellow","CardiB","New York","2",0
"1.19","8","1",".","Let's","2",0.125,"BodakYellow","CardiB","New York","3",0.125
"1.20","8","0",".","find",".",0.125,"BodakYellow","CardiB","New York","3",0.25
"1.21","8.","1",".","out",".",0.1875,"BodakYellow","CardiB","New York","3",0.4375
"1.22","16","0",".","and",".",0.0625,"BodakYellow","CardiB","New York","3",0.5
"1.23","4","1",".","see",".",0.25,"BodakYellow","CardiB","New York","3",0.75
"1.24","8.","1",".","Car-","3",0.1875,"BodakYellow","CardiB","New York","3",0.9375
"1.25","16","0",".","-di",".",0.0625,"BodakYellow","CardiB","New York","3",0
"1.27","4","1",".","B",".",0.25,"BodakYellow","CardiB","New York","4",0.25
"1.28","8","1",".","you","3",0.125,"BodakYellow","CardiB","New York","4",0.375
"1.29","8","0",".","know",".",0.125,"BodakYellow","CardiB","New York","4",0.5
"1.30","8","1",".","where",".",0.125,"BodakYellow","CardiB","New York","4",0.625
"1.31","8","0",".","I'm",".",0.125,"BodakYellow","CardiB","New York","4",0.75
"1.32","4","1",".","at",".",0.25,"BodakYellow","CardiB","New York","4",0
"1.34","8","1",".","you","3",0.125,"BodakYellow","CardiB","New York","5",0.125
"1.35","8","0",".","know",".",0.125,"BodakYellow","CardiB","New York","5",0.25
"1.36","8","1",".","where",".",0.125,"BodakYellow","CardiB","New York","5",0.375
"1.37","8","0",".","I",".",0.125,"BodakYellow","CardiB","New York","5",0.5
"1.38","8","1",".","be",".",0.125,"BodakYellow","CardiB","New York","5",0.625
"1.39","8","0",".","You","4",0.125,"BodakYellow","CardiB","New York","5",0.75
"1.40","8","1",".","in",".",0.125,"BodakYellow","CardiB","New York","5",0.875
"1.41","8","0",".","the",".",0.125,"BodakYellow","CardiB","New York","5",0
"1.43","4","1",".","club",".",0.25,"BodakYellow","CardiB","New York","6",0.25
"1.44","8","1",".","just","3",0.125,"BodakYellow","CardiB","New York","6",0.375
"1.45","8","0",".","to",".",0.125,"BodakYellow","CardiB","New York","6",0.5
"1.46","8","1",".","par-",".",0.125,"BodakYellow","CardiB","New York","6",0.625
"1.47","8","0",".","-ty",".",0.125,"BodakYellow","CardiB","New York","6",0.75
"1.48","8","1",".","I'm","4",0.125,"BodakYellow","CardiB","New York","6",0.875
"1.49","8","0",".","there",".",0.125,"BodakYellow","CardiB","New York","6",0
"1.51","8","1",".","I","3",0.125,"BodakYellow","CardiB","New York","7",0.125
"1.52","8","0",".","get",".",0.125,"BodakYellow","CardiB","New York","7",0.25
"1.53","8","1",".","paid",".",0.125,"BodakYellow","CardiB","New York","7",0.375
"1.54","8","0",".","a",".",0.125,"BodakYellow","CardiB","New York","7",0.5
"1.55","4","1",".","fee",".",0.25,"BodakYellow","CardiB","New York","7",0.75
"1.56","8","1",".","I","3",0.125,"BodakYellow","CardiB","New York","7",0.875
"1.57","8","0",".","be",".",0.125,"BodakYellow","CardiB","New York","7",0
"1.59","8","1",".","in",".",0.125,"BodakYellow","CardiB","New York","8",0.125
"1.60","8","0",".","and",".",0.125,"BodakYellow","CardiB","New York","8",0.25
"1.61","8","1",".","out",".",0.125,"BodakYellow","CardiB","New York","8",0.375
"1.62","8","0",".","them",".",0.125,"BodakYellow","CardiB","New York","8",0.5
"1.63","8","1",".","banks",".",0.125,"BodakYellow","CardiB","New York","8",0.625
"1.64","8","0",".","so",".",0.125,"BodakYellow","CardiB","New York","8",0.75
"1.65","8","1",".","much",".",0.125,"BodakYellow","CardiB","New York","8",0.875
"1.66","8","0",".","I",".",0.125,"BodakYellow","CardiB","New York","8",0
"1.68","8","1",".","know","3",0.125,"BodakYellow","CardiB","New York","9",0.125
"1.69","8","0",".","they're",".",0.125,"BodakYellow","CardiB","New York","9",0.25
"1.70","8.","1",".","tired",".",0.1875,"BodakYellow","CardiB","New York","9",0.4375
"1.71","16","0",".","of",".",0.0625,"BodakYellow","CardiB","New York","9",0.5
"1.72","4","1",".","me",".",0.25,"BodakYellow","CardiB","New York","9",0.75
"1.73","8.","1",".","Ho-","3",0.1875,"BodakYellow","CardiB","New York","9",0.9375
"1.74","16","0",".","-nest-",".",0.0625,"BodakYellow","CardiB","New York","9",0
"1.76","4","1",".","-ly",".",0.25,"BodakYellow","CardiB","New York","10",0.25
"1.77","4","1",".","don't","3",0.25,"BodakYellow","CardiB","New York","10",0.5
