City	Title	Artist	Tempo in BPM	Syllables per line	Syllables per word	Syllable Variation	Novel Word Proportion	Rhymes per line	Rhymes per syllable	Rhyme Density	End Pairs Per Line	End Pairs Grown	End Pairs Shrunk	End Pairs Even	Average End Score	Average End Syllable Score	Singles per Rhyme	Doubles per Rhyme	Triples per Rhyme	Quads per Rhyme	Longs per Rhyme	Perfect Rhymes	Line Internals per Line	Links per line	bridges per line	Compounds per line	Chaining per line
Atlanta	Jefe -	T.I., Meek Mill	128	13.68	1.290566038	4.442701881	0.921239355	3	0.219298246	0.33625731	0.6	0.333333333	0.333333333	0.333333333	5.945552908	3.430126678	0.613333333	0.253333333	0.12	0.013333333	0	0.066666667	1.08	0.36	0.96	0.28	0
Atlanta	Drip Too Hard -	Lil Baby, Gunna	113	12.41666667	1.201612903	2.289771944	0.865750916	1.583333333	0.127516779	0.208053691	0.5	0.166666667	0.333333333	0.5	3.859103945	2.572735963	0.578947368	0.315789474	0	0.105263158	0	0.052631579	0.5	0.166666667	0.416666667	0.166666667	0
Atlanta	1st Day Out Tha Feds -	Gucci Mane	138	12.91666667	1.152416357	1.411756196	0.878587154	1.791666667	0.138709677	0.196774194	0.375	0	0	1	6.079585019	4.208943475	0.674418605	0.23255814	0.093023256	0	0	0.23255814	0.583333333	0.25	0.583333333	0.125	0.041666667
Atlanta	Bad and Boujee -	Migos, Lil Uzi Vert	127	7.833333333	1.223958333	1.694763176	0.912420635	1.1	0.140425532	0.225531915	0.5	0.133333333	0.066666667	0.8	6.833974671	3.534814485	0.484848485	0.424242424	0.090909091	0	0	0.060606061	0.233333333	0.1	0.266666667	0.066666667	0.066666667
Atlanta	Up The Smoke -	Stunna 4 Vegas, Offset	143	8.458333333	1.215568862	2.120911099	0.936589105	1.416666667	0.167487685	0.270935961	0.541666667	0.384615385	0.230769231	0.384615385	3.903419385	3.903419385	0.764705882	0.088235294	0	0.117647059	0.029411765	0.088235294	0.375	0.083333333	0.416666667	0.041666667	0.333333333
Atlanta	Hot (Remix) -	Young Thug, Travis Scott, Gunna	112	10.1875	1.304	1.666536453	0.946354167	1.5625	0.153374233	0.196319018	0.5625	0.111111111	0	0.888888889	4.437510193	4.437510193	0.84	0.08	0.04	0.04	0	0.2	0.4375	0.3125	0.25	0	0
Atlanta	Riverdale Rd -	2 Chainz	125	11	1.281553398	2.041241452	0.803935185	1.833333333	0.166666667	0.340909091	0.75	0	0.111111111	0.888888889	3.197765549	2.616353631	0.545454545	0.136363636	0.272727273	0	0.045454545	0.090909091	0.416666667	0.25	0.416666667	0	0
Atlanta	Undefeated -	Future, Lil Keed	157	10.375	1.194244604	0.856956825	0.723784722	1.6875	0.162650602	0.271084337	0.375	0.166666667	0	0.833333333	3.803315676	3.259984865	0.703703704	0.148148148	0.074074074	0.037037037	0.037037037	0.074074074	0.25	0.25	0.8125	0	0
Atlanta	Light It Up	Young Thug	138	8.375	1.196428571	0.992156742	0.895585317	0.75	0.089552239	0.111940299	0.3125	0.2	0	0.8	7.143839571	4.464899732	0.833333333	0.083333333	0.083333333	0	0	0.166666667	0.125	0.125	0.1875	0	0
Atlanta	Bank Account -	21 Savage	150*	9.4375	1.217741935	2.235194343	0.873660714	1.1875	0.125827815	0.21192053	0.6875	0	0.090909091	0.909090909	6.956171624	4.027257256	0.578947368	0.210526316	0.157894737	0.052631579	0	0.368421053	0.125	0.0625	0.3125	0	0
Chicago	Kill Shit	G Herbo	141	16.57692308	1.187327824	3.040408334	0.841433067	3.269230769	0.197215777	0.361948956	0.346153846	0.111111111	0	0.888888889	11.13578661	4.772479977	0.529411765	0.2	0.223529412	0.011764706	0.035294118	0.094117647	1.384615385	0.423076923	1.115384615	0.384615385	0.269230769
